faoCode,faoName,scientificName
BDI,Mexican hogfish,Bodianus diplotaenia
BDJ,Deep-water dragon,Bathydraco marri
BDK,Clown triggerfish,Balistoides conspicillum
BDL,Elongate frostfish,Benthodesmus elongatus
BDM,Black drum,Pogonias cromis
BDN,Bathydraco antarcticus,Bathydraco antarcticus
BDO,Giant triplefin,Blennodon dorsale
BDP,Pink brotula,Brosmodorsalis persicinus
BDQ,Axilspot hogfish,Bodianus axillaris
BDR,Spanish hogfish,Bodianus rufus
BDT,Golden-spot hogfish,Bodianus perditio
BDU,Spiderfish,Bathypterois dubius
BDY,Bodianus spp,Bodianus spp
BDZ,Titan triggerfish,Balistoides viridescens
BEA,Eaton's skate,Bathyraja eatonii
BEB,Coco sea catfish,Bagre bagre
BEC,Red sea catfish,Bagre pinnimaculatus
BED,Bertella idiomorpha,Bertella idiomorpha
BEE,Benthalbella elongata,Benthalbella elongata
BEF,Belonepterygion fasciolatum,Belonepterygion fasciolatum
BEG,Latchet(=Sharpbeak gurnard),Pterygotrigla polyommata
BEH,Frostfishes,Benthodesmus spp
BEI,Chilhuil sea catfish,Bagre panamensis
BEK,Lace klipfish,Blennioclinus brachycephalus
BEM,Gafftopsail sea catfish,Bagre marinus
BEN,"Needlefishes, etc. nei",Belonidae
BEO,Crested sculpin,Blepsias bilobus
BEP,Eastern Pacific bonito,Sarda chiliensis
BER,Brachypterois serrulata,Brachypterois serrulata
BES,Belone spp,Belone spp
BET,Bigeye tuna,Thunnus obesus
BEX,Buccinum spp,Buccinum spp
BEY,Mottled twister,Bellapiscis lesleyae
BEZ,Bero zanclus,Bero zanclus
BFA,Southern barred triplefin,Brachynectes fasciatus
BFB,Benthophiloides brauneri,Benthophiloides brauneri
BFC,Brephostoma carpenteri,Brephostoma carpenteri
BFD,Bathydraco scotiae,Bathydraco scotiae
BFE,Kelp perch,Brachyistius frenatus
BFG,Snaky klipfish,Blennophis anguillaris
BFI,Boleophthalmus birdsongi,Boleophthalmus birdsongi
BFK,Spaniblennius clandestinus,Spaniblennius clandestinus
BFL,Bathymicrops regis,Bathymicrops regis
BFM,Bathycallionymus formosanus,Bathycallionymus formosanus
BFN,Barbulifer,Barbulifer antennatus
BFO,Tripodfish,Bathypterois grallator
BFP,Great blue spotted mudskipper,Boleophthalmus pectinirostris
BFQ,Bathypterois quadrifilis,Bathypterois quadrifilis
BFR,Benthophilus baeri,Benthophilus baeri
BFT,Atlantic bluefin tuna,Thunnus thynnus
BFX,Bathysphyraenops simplex,Bathysphyraenops simplex
BFZ,Bathygadus favosus,Bathygadus favosus
BGI,Rockhead,Bothragonus swanii
BGN,Vaillant's grenadier,Bathygadus melanobranchus
BGO,Bullseye grenadier,Bathygadus macrops
BGQ,Northern blunt-tail shrimp,Bentheogennema borealis
BGR,Bastard grunt,Pomadasys incisus
BGS,Gray starsnout,Bathyagonus alascanus
BGU,Dusky frillgoby,Bathygobius fuscus
BGV,Roundjaw bonefish,Albula glossodonta
BGX,Pomadasys spp,Pomadasys spp
BGZ,Pigsnout grunt,Pomadasys rogerii
BHA,Balao halfbeak,Hemiramphus balao
BHC,Chaptis bahaba,Bahaba chaptis
BHD,Lusitanian toadfish,Halobatrachus didactylus
BHF,Deep-sea lizardfish,Bathysaurus ferox
BHG,Glacier lantern fish,Benthosema glaciale
BHH,Brachionichthys hirsutus,Brachionichthys hirsutus
BHJ,Chinese bahaba,Bahaba taipingensis
BHM,Banded frogfish,Halophryne diemensis
BHN,Beardless sea catfish,Batrachocephalus mino
BHQ,Skinnycheek lanternfish,Benthosema pterotum
BHT,Bhanotia fasciolata,Bhanotia fasciolata
BHY,Bathyraja rays nei,Bathyraja spp
